T,n
2.07641,2.45929e+16
2.07254,2.52921e+16
2.06868,2.60087e+16
2.06484,2.67429e+16
2.06101,2.7495e+16
2.05719,2.82655e+16
2.05339,2.90548e+16
2.0496,2.98631e+16
2.04583,3.06909e+16
2.04207,3.15386e+16
2.03832,3.24066e+16
2.03459,3.32953e+16
2.03087,3.42051e+16
2.02716,3.51363e+16
2.02347,3.60896e+16
2.01979,3.70652e+16
2.01613,3.80636e+16
2.01248,3.90853e+16
2.00884,4.01308e+16
2.00521,4.12003e+16
2.0016,4.22945e+16
1.998,4.34139e+16
1.99442,4.45588e+16
1.99084,4.57298e+16
1.98728,4.69273e+16
1.98373,4.81519e+16
1.9802,4.94041e+16
1.97668,5.06844e+16
1.97316,5.19933e+16
1.96967,5.33314e+16
1.96618,5.46992e+16
1.96271,5.60971e+16
1.95925,5.75259e+16
1.9558,5.8986e+16
1.95236,6.04781e+16
1.94894,6.20026e+16
1.94553,6.35603e+16
1.94212,6.51516e+16
1.93874,6.67772e+16
1.93536,6.84376e+16
1.93199,7.01336e+16
1.92864,7.18658e+16
1.9253,7.36347e+16
1.92197,7.5441e+16
1.91865,7.72854e+16
1.91534,7.91685e+16
1.91205,8.10911e+16
1.90876,8.30537e+16
1.90549,8.50571e+16
1.90223,8.71019e+16
1.89897,8.9189e+16
1.89573,9.13189e+16
1.89251,9.34925e+16
1.88929,9.57104e+16
1.88608,9.79734e+16
1.88288,1.00282e+17
1.8797,1.02638e+17
1.87652,1.05041e+17
1.87336,1.07492e+17
1.87021,1.09992e+17
1.86706,1.12542e+17
1.86393,1.15142e+17
1.86081,1.17794e+17
1.8577,1.20498e+17
1.8546,1.23255e+17
1.85151,1.26066e+17
1.84843,1.28932e+17
1.84536,1.31853e+17
1.8423,1.34831e+17
1.83925,1.37866e+17
1.83621,1.4096e+17
1.83318,1.44113e+17
1.83016,1.47327e+17
1.82715,1.50601e+17
1.82415,1.53938e+17
1.82116,1.57337e+17
1.81818,1.60801e+17
1.81521,1.64329e+17
1.81225,1.67924e+17
1.8093,1.71585e+17
1.80636,1.75315e+17
1.80343,1.79113e+17
1.8005,1.82982e+17
1.79759,1.86921e+17
1.79469,1.90933e+17
1.79179,1.95018e+17
1.78891,1.99178e+17
1.78603,2.03413e+17
1.78317,2.07724e+17
1.78031,2.12114e+17
1.77746,2.16582e+17
1.77462,2.2113e+17
1.77179,2.25759e+17
1.76897,2.3047e+17
1.76616,2.35265e+17
1.76336,2.40144e+17
1.76056,2.4511e+17
1.75778,2.50162e+17
1.755,2.55303e+17
1.75223,2.60533e+17
1.74948,2.65854e+17
1.74672,2.71268e+17
1.74398,2.76774e+17
1.74125,2.82376e+17
1.73853,2.88073e+17
1.73581,2.93868e+17
1.7331,2.99761e+17
1.7304,3.05754e+17
1.72771,3.11849e+17
1.72503,3.18047e+17
1.72236,3.24349e+17
1.71969,3.30756e+17
1.71703,3.3727e+17
1.71438,3.43893e+17
1.71174,3.50625e+17
1.70911,3.57469e+17
1.70648,3.64426e+17
1.70387,3.71497e+17
1.70126,3.78684e+17
1.69866,3.85988e+17
1.69607,3.93411e+17
1.69348,4.00954e+17
1.6909,4.08619e+17
1.68833,4.16408e+17
1.68577,4.24322e+17
1.68322,4.32363e+17
1.68067,4.40532e+17
1.67813,4.48831e+17
1.6756,4.57262e+17
1.67308,4.65826e+17
1.67056,4.74525e+17
1.66806,4.83361e+17
1.66556,4.92335e+17
1.66306,5.01449e+17
1.66058,5.10705e+17
1.6581,5.20105e+17
1.65563,5.2965e+17
1.65317,5.39342e+17
1.65071,5.49184e+17
1.64826,5.59176e+17
1.64582,5.69321e+17
1.64339,5.7962e+17
1.64096,5.90075e+17
1.63854,6.00689e+17
1.63613,6.11463e+17
1.63372,6.22399e+17
1.63132,6.33499e+17
1.62893,6.44765e+17
1.62655,6.56199e+17
1.62417,6.67803e+17
1.6218,6.79578e+17
1.61943,6.91528e+17
1.61708,7.03653e+17
1.61473,7.15957e+17
1.61238,7.2844e+17
1.61005,7.41105e+17
1.60772,7.53955e+17
1.60539,7.66991e+17
1.60308,7.80215e+17
1.60077,7.9363e+17
1.59847,8.07238e+17
1.59617,8.2104e+17
1.59388,8.3504e+17
1.5916,8.49239e+17
1.58932,8.63639e+17
1.58705,8.78244e+17
1.58479,8.93054e+17
1.58253,9.08073e+17
1.58028,9.23302e+17
1.57803,9.38744e+17
1.5758,9.54402e+17
1.57356,9.70277e+17
1.57134,9.86372e+17
1.56912,1.00269e+18
1.56691,1.01923e+18
1.5647,1.036e+18
1.5625,1.053e+18
1.56031,1.07023e+18
1.55812,1.0877e+18
1.55594,1.1054e+18
1.55376,1.12334e+18
1.55159,1.14153e+18
1.54943,1.15996e+18
1.54727,1.17864e+18
1.54512,1.19756e+18
1.54297,1.21674e+18
1.54083,1.23618e+18
1.5387,1.25587e+18
1.53657,1.27582e+18
1.53445,1.29604e+18
1.53233,1.31652e+18
1.53022,1.33727e+18
1.52812,1.35829e+18
1.52602,1.37958e+18
1.52393,1.40115e+18
1.52184,1.423e+18
1.51976,1.44514e+18
1.51768,1.46756e+18
1.51561,1.49026e+18
1.51355,1.51326e+18
1.51149,1.53655e+18
1.50943,1.56014e+18
1.50739,1.58402e+18
1.50534,1.60821e+18
1.50331,1.63271e+18
1.50128,1.65751e+18
1.49925,1.68262e+18
1.49723,1.70805e+18
1.49522,1.7338e+18
1.49321,1.75987e+18
1.4912,1.78626e+18
1.4892,1.81297e+18
1.48721,1.84002e+18
1.48522,1.8674e+18
1.48324,1.89512e+18
